"tayren","طايرين"
"btsolfi","بتسولفي"
"5sosi","خصوصي"
"gltle","قلتلي"
"b2nbni","بئنبني"
"2albek","ألبك"
"ta5arroj","تخررج"
"yoaf8k","يوفقك"
"tjli","تجلي"
"o5ra","اخرى"
"wansih","وانسه"
"b3sh8k","بعشقك"
"mratb","مرتب"
"teskotn","تسكتن"
"9owar","صور"
"la3eb","لعب"
"thane","ثاني"
"sha2","شاء"
"m9′we","مضوي"
"tel3'eha","تلغيها"
"n7sa","نحسه"
"7ad","حد"
"mnk$lk","منكشلك"
"gbto","جبته"
"2lmzar","المزار"
"ikhwatak","اخواتك"
"oanta","وانت"
"o5ti","اختي"
"no9hom","نصهم"
"el9ob7","الصبح"
"zeyed","زياد"
"laltani","للتاني"
"w6en","وطين"
"do5an","دخان"
"wladk","ولادك"
"r7lna","رحلنا"
"deraseh","دراسه"
"3amman","عمان"
"bf9'e7ah","بفضيحه"
"3'ala6","غلط"
"b3rfkash","بعرفكيش"
"bl3rbi","بالعربي"
"moteha","موتيها"
"8lna","قلنا"
"mohanad","مهند"
"ra7ti","راحتي"
"tan7eef","تنحيف"
"l8dam","لقدام"
"e5ti","اختي"
"ili","الي"
"5ereb","خرب"
"khalil","خليل"
"malny","مالني"
"ml7","ملح"
"5alty","خالتي"
"fad7tene","فضحتيني"
"darshum","دارسهم"
"khlelha","خليلها"
"s7ee7","صحيح"
"er7am","ارحم"
"ela5er","الاخير"
"bdi","بدي"
"awal","اول"
"lhabla","الهبله"
"2$wtk","اشوتك"
"4adna","ضدنا"
"3zezat","عزيزات"
"ldrjt","لدرجه"
"br2yk","برايك"
"nwrteli","نورتيلي"
"byat","بيات"
"tf3l","تفعل"
"39bt","عصبت"
"7anonh","حنونه"
"8olole","قولولي"
"begann","بيجنن"
"abdn","ابدا"
"shawarama","شاورما"
"mw8fek","موقفك"
"msktoh","مسكته"
"btn7al","بتنحل"
"mawa8fak","مواقفك"
"mrbo6","مربوط"
"a9'a7i","اضحي"
"3rdkum","عرضكم"
"tmod","تمد"
"elhana","الهنا"
"fargh","فارقه"
"lmetoh","لميته"
"lma5adeh","المخده"
"5letlou","خليتله"
"t5l9ene","تخلصيني"
"ya5doo","ياخذه"
"2swad","اسود"
"lebseh","لبسه"
"do8e","دقي"
"laejtema3","الاجتماع"
"btstfzni","بتستفزني"
"6alb","طالب"
"ra2es","رئيس"
"shlfga","شلفقه"
"bstna","بستنى"
"7rman","حرمان"
"alebseh","البسه"
"t5afesh","تخافش"
"3afeni","عافيني"
"l8eto","لقيته"
"benatna","بيناتنا"
"2shya2","اشياء"
"el3afyeh","العافيه"
"3lkbseh","عالكبسه"
"bsowar","بصور"
"asa3d","اساعد"
"ahlik","اهلك"
"wlesh","وليش"
"jehad","جهاد"
"tn7are8","تنحرق"
"bmor","بمر"
"kther","كثير"
"elshadeh","الشده"
"5tabat","خطابات"
"banoteh","بنوته"
"el3foo","العفو"
"fkrt","فكرت"
"5brh","خبره"
"behko","بيحكو"
"billah","بالله"
"mst8bl","مستقبل"
"mkt2b","مكتئب"
"malk","مالك"
"ml3m6'","ملعمظ"
"tblshesh","تبلشيش"
"sbankh","سبانخ"
"tndamy","تندمي"
"dinar","دينار"
"6'eafat","ظيافات"
"m3ndesh","معنديش"
"bl2skan","بالأسكان"
"ytn$6","يتنشط"
"kartheh","كارثه"
"a3tene","اعطيني"
"tehke","تحكي"
"7ih","حيه"
"ertbt","ارتبط"
"azde","ازدي"
"bfoot","بفوت"
"9wel7","صويلح"
"edara","اداره"
"nadrha","نضرها"
"b3enk","بعينك"
"trkya","تركيا"
"2lbso","البسو"
"tshrbi","تشربي"
"b5af","بخاف"
"elkosa","الكوسا"
"elnja7","النجاح"
"seret","سيرة"
"yhaneko","يهنيكوا"
"6ery","طيري"
"neyalna","نيالنا"
"lmohim","المهم"
"mshkleh","مشكله"
"tsweq","تسويق"
"b6o5i","بطخي"
"7asrti","حسرتي"
"s7et","صحيت"
"wn7efh","ونحيفه"
"tjra7ak","تجرحك"
"el7ami","الحامي"
"sra8at","سراقات"
"t3e6e$","تعيطيش"
"7bet","حبيت"
"ljam3a","الجامعه"
"9ar","صار"
"tkhl3","تخلع"
"mo3taz","معتز"
"wladhen","ولادهن"
"rawan","روان"
"sb3ch","سبعج"
"btjamel","بتجامل"
"m5beh","مخبيه"
"a3'raad","اغراض"
"nathaleh","نذاله"
"f79t","فحصت"
"mnhableh","منهبله"
"3'l6t","غلطت"
"b3rf","بعرف"
"korhek","كرهك"
"ich","ايش"
"motlh","مطله"
"7komeh","حكوميه"
"krehtek","كرهتك"
"oslobk","اسلوبك"
"9mda","صمده"
"ya5e","ياخي"
"7rkti","حركتي"
"97abi","صحابي"
"2lrmtha","الرمثا"
"shams","شمس"
"fallayna","فلينا"
"la2inak","لانك"
"jalseh","جالسه"
"abda3at","ابداعات"
"bb3tlkom","ببعتلكم"
"bani","بني"
"azdi","أزدي"
"neoun","نيون"
"quran","قرأن"
"y3tekom","يعطيكم"
"a36ek","اعطيك"
"2ljom3a","الجمعه"
"o9bor","اصبر"
"mwdo3na","موضوعنا"
"modminaty","مدمناتي"
"khatibti","خطيبتي"
"alwrd","الورد"
"shml","شمل"
"t7lf","تحلف"
"ro2ya","رؤيا"
"7batk","حبتك"
"bn$ofha","بنشوفها"
"sha3ru","شعره"
"5alasto","خلصتو"
"yahko","يحكوا"
"7iwanh","حيوانه"
"ba7ebkom","بحبكم"
"mt5le","متخلي"
"ll7yah","للحياه"
"tfahtk","تفاهتك"
"7abibti","حبيبتي"
"dakhla","داخله"
"yakolha","ياكلها"
"moder","مديير"
"myt","ميت"
"kankaneh","كنكنه"
"36st","عطست"
"alward","الورد"
"mt3aml","متعامل"
"entba3","انطباع"
"g76","قحط"
"9orha","صورها"
"a5thnah","اخذناه"
"wdihom","وديهم"
"alhamdolilah","الحمدلله"
"shfayfu","شفايفه"
"galbi","قلبي"
"mathaln","مثلا"
"2esm","اسم"
"thbre$","تهبريش"
"ela9l","الاصل"
"b3dt","بعدت"
"eljhaten","الجهتين"
"et5roj","التخرج"
"esty3ab","استيعاب"
"bf9'a7","بفضح"
"wlo","ولو"
"allahwkelk","اللهوكيلك"
"rou7i","روحي"
"7ases","حاسس"
"mst3'rb","مستغرب"
"b7shen","بحسهن"
"wtf","وتف"
"fashel","فاشل"
"7betha","حبيتها"
"ma","ما"
"5l9oona","خلصونا"
"kolek","كلك"
"nzra","نزره"
"hdeetk","هديتك"
"t3t4r","تعتذر"
"msdga","مصدقه"
"lazemha","لازمها"
"tjaweb","تجاوب"
"ra9eed","رصييد"
"gadek","قدك"
"ra9'e3","رضيع"
"y8wi","يقوي"
"tnfa3hen","تنفعهن"
"muhsnat","محصنات"
"wao","واو"
"t3btk","تعبتك"
"2tkhrbt","اتكهربت"
"3lik","عليك"
"3lfadi","عالفاضي"
"h6'ol","هظول"
"2drosy","ادرسي"
"k4b","كذب"
"8e$tah","قشطه"
"teb3d","تبعد"
"yla7eg","يلاحق"
"a5barek","اخبارك"
"msari","مصاري"
"wahed","واحد"
"mglubih","مقلوبه"
"ajrbu","اجربو"
"ljay","الجاي"
"3aber","عبير"
"sawarha","صورها"
"la7kom","لأحكم"
"3na","عنا"
"n76","نحط"
"btfhminy","بتفهميني"
"7aseh","حاسه"
"tsd8","تصدق"
"mtawleh","مطوله"
"2o","او"
"blzmk","بلزمك"
"mtl3thm","متلعثم"
"a5dar","اخضر"
"8lobat","قلوبات"
"6ar$h","طارشه"
"a36ekom","اعطيكم"
"3'yrt","غيرت"
"9baya","صبيه"
"asbo3'","اصبغ"
"khsara","خساره"
"sha6er","شاطر"
"bljo3","بالجوع"
"mshalah","ماشاءالله"
"3sbeye","عصبيه"
"eb3atha","ابعثها"
"2l78e8e","الحقيقي"
"ygreb","يقرب"
"bttsla","بتتسلى"
"3refteha","عرفتيها"
"za7ma","زحمه"
"nazil","نازل"
"ammeen","اميين"
"alsyarat","السيارات"
"esbo3en","اسبوعين"
"nfsy","نفسي"
"8adreh","قادره"
"f7da","فحدا"
"lsa","لسا"
"safrt","سافرت"
"lmen","لمين"
"3lasare3","عالسريع"
"doami","دوامي"
"td3olo","تدعولو"
"9'7kty","ضحكتي"
"btrodeeh","بترديه"
"m3isssh","معيش"
"naj7","ناجح"
"bse6a","بسيطه"
"a9f","اصف"
"ya8adaraha","يقدرها"
"dwali","دوالي"
"kamleh","كامله"
"5ilsat","خلصت"
"b3shgk","بعشقك"
"mns2al","منسأل"
"te3mali","تعملي"
"m3ruf","معروف"
"wslet","وصلت"
"fkra","فكره"
"msl7jyeh","مصلحجيه"
"nady","نادي"
"adellak","ادللك"
"5ala9","خلص"
"sjlt","سجلت"
"el$ef","الشيف"
"blzab6","بالزبط"
"7ewanat","حيوانات"
"eln9e7ah","النصيحه"
"3lframah","عالفرامه"
"se8arah","سيقاره"
"btla2i","بتلائي"
"twaqo3atek","توقعاتك"
"nascafetna","نسكفيتنا"
"3lso2al","عالسؤال"
"b6bo6a","بطبوطه"
"5z8","خزق"
"yst8blko","يستقبلكو"
"ahli","اهلي"
"mfakr","مفكر"
"ys7bo","يحسبه"
"bsmah","بسمح"
"sonbolati","سنبولتي"
"bhdle","بهدله"
"7alty","حالتي"
"bdlo","بضله"
"l7ale","لحالي"
"w5ale","وخالي"
"bt3te","بتعطي"
"hfdk","حفضك"
"3lnar","عالنار"
"5i6hm","خيطهم"
"jaebeto","جايبيته"
"y7myk","يحميك"
"shuftene","شوفتيني"
"2yaha","اياها"
"8ahoh","قهوه"
"27qd","احقد"
"ba3mlkom","بعملكم"
"bethat","بالذات"
"o5et","اخت"
"mouz","موز"
"7lalek","حلالك"
"elgame3","الجميع"
"mfkrtene","مفكرتيني"
"kream","كريم"
"t3wdto","تعودتو"
"rasmi","رسمي"
"2lr8i","الرقي"
"lothtehn","لوثهين"
"shma3'","شماغ"
"th'akr","ذكر"
"tashbeh","تشبيه"
"tzakrtek","تزكرتك"
"yel3an","يلعن"
"bsabbo","بسبه"
"jm3tna","جمعتنا"
"mzaynh","مزينه"
"$abak","شابك"
"jalta","جلطه"
"n7tfl","نحتفل"
"hobak","حبك"
"a7ke","احكي"
"df3na","دفعنا"
"7ares","حارس"
"mjhoode","مجهودي"
"fala96en","فلسطين"
"38bal","عقبال"
"atzkr","اتزكر"
"25wana","اخوانا"
"arnlk","ارنلك"
"saa7","صح"
"inte","انتي"
"btte3refi","بتتعرفي"
"a5od","اخذ"
"m7trmen","محترمين"
"5trat","خطرت"
"balak","بلاك"
"mnta","ماانت"
"m8lb","مقلب"
"tis","تيس"
"ajwbtk","اجوبتك"
"3ere","عره"
"9d8i","قصدي"
"7azi","حزي"
"mgablen","مقابلين"
"elswar","الصور"
"mshfou7","مشفوح"
"af9l","افصل"
"trktha","تركتها"
"smito","سميته"
"jl6teni","جلطتيني"
"s6lt","سطلت"
"8a3a","قاعه"
"eza","ازا"
"wahedi","وحدي"
"$u","شو"
"t5alona","تخلونا"
"t3shete","تعشيتي"
"t$a3'le","تشغلي"
"eltom","التوم"
"en9ht","انصحت"
"ntjawaz","نتجوز"
"ndeef","نظيف"
"2lban","البن"
"shoke","شوكه"
"elwaja3","الوجع"
"rwad","رواد"
"al5odor","الخضر"
"wala3","ولع"
"tb3n","طبعا"
"eltofa7ah","التفاحه"
"gabel","قبل"
"mrkzak","مركزك"
"elmonaseb","المناسب"
"halma7abe","هالمحبه"
"metl","متل"
"bra","برا"
"$kli","شكلي"
"eltrkeb","التركيب"
"muhtm","مهتم"
"fahem","فاهم"
"97eh","صحيه"
"o8sm","اقسم"
"9'3'6ek","ضغطك"
"limin","لمين"
"8amer","قمر"
"lwni","لوني"
"bri","بري"
"resaleh","رساله"
"el68om","الطقم"
"tdz","تدز"
"a6b5","اطبخ"
"kazab","كزاب"
"t3al","تعال"
"sahranin","سهرانين"
"nag9etk","ناقصتك"
"amoura","اموره"
"72","حأ"
"5aly","خالي"
"rqmk","رقمك"
"jl6tni","جلطتني"
"3rfni","عرفني"
"w2ten","وئتين"
"2twjehi","اتوجيهي"
"2alah","الله"
"fkart","فكرت"
"t3baneh","تعبانه"
"3roug","عروق"
"shelehn","شيليهن"
"eld7ek","الضحك"
"gad","قد"
"yaret","ياريت"
"bedayet","بداية"
"benzl","بينزل"
"mrwan","مروان"
"el7mer","الحمير"
"y8t3","يقطع"
"mira","ميرا"
"y5lelna","يخلينا"
"y5ty","يختي"
"tf6arsh","تفطرش"
"3enek","عينيك"
"6ole","طولي"
"msade","مصدي"
"3rftik","عرفتك"
"jma3i","جماعي"
"jamelkon","جمالكن"
"rz8","رزق"
"7ilo","حيلو"
"galbk","قلبك"
"bya3ti","بيعطي"
"wtlm7","وتلمح"
"dafneh","دافنه"
"awyly","اويلي"
"btosh","بطش"
"tehreehom","تهريهم"
"ynz3","ينزع"
"bt7kelna","بتحكيلنا"
"nwerte","نورتي"
"3jbtha","عجبتها"
"t79'r","تحضر"
"a9de8ai","اصدقائي"
"rbshni","ربشني"
"fz3n","فزعن"
"9'hr","ضهر"
"m3nato","معناتو"
"2kshf","اكشف"
"yasmeen","ياسمين"
"m6n3z","مطنعز"
"3anne","عني"
"28n3thom","اقنعتهم"
"mafhmtsh","مفهمتش"
"al7mdellh","الحمدلله"
"btarekh","بتاريخ"
"r3'd","رغد"
"meskina","مسكينه"
"b5l8tk","بخلقتك"
"glbeh","قلبه"
"ajrhm","اجرهم"
"ertbte","ارتبطتي"
"tgawbi","تجاوبي"
"nami","نامي"
"ldrajet","لدرجة"
"a6$","اطش"
"jfaf","جفاف"
"ajbrha","اجبرها"
"bfatreh","بفتره"
"dnam","دنام"
"mr9'at","مرضت"
"6awleh","طوليه"
"am36","امعط"
"3'mh","غمه"
"ba8olk","بقلك"
"kayen","كاين"
"alsher","الشر"
"qalby","قلبي"
"daymn","دايما"
"7worh","حوره"
"fr$at","فرشات"
"btt7ala","بتتحالا"
"mzhriaty","مزهريتي"
"5lna","خلنا"
"bn3amer","بنعمر"
"ka2ano","كأنه"
"elaz2een","الازئين"
"sede","سيدي"
"eltare5","التراخيص"
"raf3tli","رفعتلي"
"6li","طلي"
"iyaha","اياه"
"kulo","كلو"
"o3tshana","وعطشنا"
"safek","صفك"
"ra8i","راقي"
"ymken","يمكن"
"eshl7e","اشلحي"
"ryan","ريان"
"bt5wf","بتخوف"
"bnrta7","بنرتاح"
"6amni","طمني"
"zaka","زكا"
"jsmek","جسمك"
"hdfi","هدفي"
"t3esh","تعيش"
"fyi","فيي"
"lemaza","لمازا"
"$ofti","شفتي"
"rayb","رايب"
"w7eatk","وحياتك"
"9'7kna","ضحكنا"
"as2lh","اساله"
"retni","ريتني"
"somor","سمر"
"2s2alk","اسألك"
"a5b9","اخبص"
"jddthm","جددتهم"
"asabe3","اسابيع"
"7yathom","حياتهم"
"b7drlko","بحضرلكوا"
"7non","حنون"
"eldafe3","الدافع"
"a3'eb","اغيب"
"b6osh","بطش"
"ttsha6r","تتشاطر"
"bleid","بليد"
"2tnfas","اتنفس"
"mo3'fl","مغفل"
"m3dti","معدتي"
"arkbo","اركبو"
"naim","نايم"
"grfh","قرفه"
"ljaj","الجاج"
"bt3rfene","بتعرفيني"
"mtwq3thom","متوقعيتهم"
"$3'leh","شغله"
"elmo3a8ad","المعقد"
"benak","بينك"
"elm3othat","المعوذات"
"da5lt","دخلت"
"mshklte","مشكلتي"
"r2es","رئيس"
"bt5al9i","بتخلصي"
"esh","ايش"
"38ab","عقاب"
"b87","بقح"
"m3'ebeh","مغيبه"
"a6ol","اطول"
"mobara","مباراه"
"y5zik","يخزيك"
"3'l6tna","غلطتنا"
"5afo","خافوا"
"b9fon","بصفن"
"ag3udi","اقعدي"
"btsala","بتسلى"
"sba7ek","صباحك"
"ajaweb","اجاوب"
"amrm6","امرمط"
"bttswa","بتتسوى"
"y863","يقطع"
"aren","ارن"
"5lih","خليه"
"8adk","قدك"
"sh5sytk","شخصيتك"
"8ames","قميس"
"5amseen","خمسين"
"3rfteha","عرفتيها"
"mabtlzmne","مابتلزمني"
"tyasare","تيسري"
"alfrg","الفرق"
"mdawiha","مضويها"
"y3al8u","يعلقو"
"mtfaja2h","متفاجئه"
"z3'rtet","زغرتت"
"jame3","جمييع"
"t5ayale","تخيلي"
"2dneh","الدنيا"
"nasyak","ناسيك"
"teqra2e","تقرئي"
"wbidahek","وبضحك"
"d5lni","دخلني"
"tfrge","تفرجي"
"btshbhiny","بتشبهيني"
"netfarej","نتفرج"
"lltw9'e7","للتوضيح"
"37alo","عحالو"
"akhawyeh","اخويه"
"bt5raj","بتخرج"
"walo","ولو"
"btdrsy","بتدرسي"
"zh8t","زهقت"
"b8dar","بقدر"
"3la8l","عالأقل"
"mn","من"
"sh3'lat","شغلات"
"ta3th","تاعته"
"krakeh","كركيه"
"n7as","نحس"
"fa$el","فاشل"
"y6al8o","يطلقه"
"tf3leen","تفعلين"
"7l8et","حلقة"
"2lzrqa2","الزرقاء"
"raw7et","روحت"
"eldabor","الدبور"
"astamer","استمر"
"klab","كلب"
"saf7tk","صفحتك"
"fazo","فازوا"
"8tlne","قتلني"
"salmely","سلميلي"
"3yoonek","عيونك"
"tntfk","تنتفك"
"tholatha2","ثﻻثاء"
"ms83","مسقع"
"sa7batha","صاحبتها"
"2stefsar","استفسار"
"mwa","مواه"
"a7zani","احزاني"
"l2ni","لأني"
"trtf3","ترتفع"
"thke","تحكي"
"mshark","مشارك"
"by3rfne","بيعرفني"
"yjazeki","يجازيكي"
"wainko","وينكو"
"b7kiha","بحكيها"
"t3lmt","تعلمت"
"by3ml","بيعمل"
"f3awnak","فعونك"
"3laina","علينا"
"be9'","بيض"
"mojoden","موجودين"
"f6ayr","فطاير"
"mfrod","مفروض"
"jahel","جاهل"
"el$hr","الشهر"
"bns2el","بنسال"
"bshib","بشيب"
"makenat","ماكينات"
"re7to","ريحته"
"97le","صحلي"
"hek","هيك"
"masr7","مسرح"
"bytla3","بيطلع"
"ys2alak","يسالك"
"elfa9'e","الفاضي"
"la2tne","لئتني"
"2l3eoun","العيون"
"tngale3","تنقلع"
"ana","انا"
"ydalo","يضلو"
"fel96eni","فلسطيني"
"b3den","بعدين"
"yousef","يوسف"
"thgel","ثقيل"
"zh8tn","زهقتن"
"elnady","النادي"
"nomh","نومه"
"ba7kilak","بحكيلك"
"fahmin","فاهمين"
"so2alen","سؤالين"
"lz8h","لزقه"
"shbth","شبث"
"m3tetna","معطيتنا"
"ela3'ra9'","الاغراض"
"gali","قلي"
"z3lt","زعلت"
"tawjehy","توجيهي"
"alby","ألبي"
"wa7ed","واحد"
"89tek","قصتك"
"rj3t","رجعت"
"ahdru","احضرو"
"bdabrele","بدبريلي"
"3'yret","غيرت"
"3alme","علمي"
"benha","بينها"
"aywah","ايوه"
"7ab","حاب"
"alkzeb","الكزب"
"5leke","خليكي"
"5leko","خليكو"
"dewan","ديوان"
"3arasak","عراسك"
"mokamel","مكمل"
"amhrsh","امهرش"
"l2rood","الأرود"
"w9lt","وصلت"
"mestweye","مستوي"
"y2jlo","يأجلو"
"wa9atni","وصتني"
"$abs","شبس"
"3arabi","عربي"
"ard7lk","اردحلك"
"ta5sosak","تخصصك"
"amar","عمار"
"ytayes","يتيس"
"7elwat","حلوات"
"2lef","الف"
"el6'hr","الظهر"
"23aseb","اعصب"
"telwi","تلوي"
"fatheh","فاتحه"
"f9'lti","فضلتي"
"sm3tha","سمعتها"
"2shm6","اشمط"
"m9rf","مصرف"
"jahez","جاهز"
"motab3en","متابعين"
"jzr","جزر"
"mot5lfen","متخلفين"
"hbibi","حبيبي"
"te3mli","تعملي"
"7oa9l","حواصل"
"ll3'orfeh","للغرفه"
"btit7mal","بتتحمل"
"nabe3'ah","نابغه"
"bbaki","ببكي"
"tilifoni","تليفوني"
"jaremeh","جريمه"
"el9ena3i","الصناعي"
"matbla","ماتبلى"
"ms2ol","مسؤول"
"bowsloki","بوصلوكي"
"awladha","اولادها"
"3mtk","عمتك"
"$arab","شراب"
"dalel","دليل"
"y7meki","يحميكي"
"5susi","خصوصي"
"taas2l","تاأسأل"
"binit","بنت"
"3a9eer","عصير"
"el3afyh","العافيه"
"zlmti","زلمتي"
"fstg","فستق"
"zayi","زيي"
"alla","الاء"
"2sa7","اصح"
"farah","فرح"
"jayeni","جايني"
"fawaz","فواز"
"re2te","رئتي"
"7ajeh","حجه"
"bejamah","بجامه"
"ysabrek","يصبرك"
"3amleh","عامله"
"8a3deh","قعده"
"w97et","وصحيت"
"ba9me","بصمه"
"elzana5ah","الزناخه"
"59'ra","خضراء"
"iyahen","اياهن"
"bt5zy","بتخزي"
"ell76'ah","اللحظه"
"ykpper","يكبير"
"l3aks","العكس"
"elsoda","السودا"
"8ool","قوول"
"m5l6","مخلط"
"3marh","عمارة"
"e$i","اشي"
"7lmit","حلمت"
"tolen","تولين"
"elftneh","الفتنه"
"e3rfte","اعرفتي"
"5udlk","خدلك"
"kasat","كاسات"
"b9dr","بصدر"
"b7kelkom","بحكيلكم"
"louz","لوز"
"el6al3ah","الطالعه"
"dalet","ضليت"
"3$an","عشان"
"baket","باكيت"
"6abeh","طبه"
"3rfte","عرفتي"
"abhrni","ابهرني"
"3amr","عامر"
"atzakar","اتزكر"
"niyalk","نيالك"
"3uy","عوي"
"3ndi","عندي"
"bt7tarmi","بتحترمي"
"7$e$","حشيش"
"2lnta2j","النتائج"
"bash","باش"
"balkom","بالكم"
"machallah","ماشاءالله"
"btshk","بتشك"
"ar8al","ارقل"
"bjozlk","بجوزلك"
"btjra7ehm","بتجرحيهم"
"a7mq","احمق"
"az3l","ازعل"
"dahktni","ضحكتني"
"fatra","فتره"
"3j8et","عجقت"
"bt3atbne","بتعاتبني"
"bdraseh","بدراسه"
"shofthom","شفتهم"
"$arekah","شركه"
"menha","منها"
"marwa","مروه"
"fotna","فوتنا"
"5bro","خبره"
"37alk","عحالك"
"be3rafoke","بيعرفوكي"
"tjawbi","تجاوبي"
"moba$rh","مباشره"
"3otleh","عطلة"
"yshar","يسهر"
"efr7ne","يفرحني"
"7meed","حميد"
"ma$i","ماشي"
"tmrd3'","تمردغ"
"2l2nsan","الأنسان"
"bnhtam","بنهتم"
"bra8bk","براقبك"
"threeb","تهريب"
"b3rfsh","بعرفش"
"elkik","الكيك"
"bldoseat","بالدوسيات"
"3ndhom","عندهم"
"2rb6ehn","اربطيهن"
"shyo5","شيوخ"
"kreeri","كيري"
"etwqa3et","اتوقعت"
"t8ra","تقرا"
"3eltna","عيلتنا"
"mwklak","موكلك"
"anj7","انجح"
"tthblesh","تتهبلش"
"m8ref","مقرف"
"n9e7a","نصيحه"
"2ro7","اروح"
"3gle","عقلي"
"ro7to","روحتو"
"mwaf2a","موافئه"
"a79'ar","احضر"
"d3eet","دعيت"
"elyom","اليوم"
"thdoni","تهدوني"
"mba6leh","مبطله"
"jzdan","جزدان"
"jom3a","جمعه"
"b2rah","بئره"
"8albik","قلبك"
"sjlat","سجلت"
"meladha","ميلادها"
"lle7tea6","للاحتياط"
"etf8na","اتفقنا"
"mnwr","منور"
"dret","دريت"
"3abood","عبوود"
"m3joneh","معجونه"
"to5theh","توخذيه"
"$3ratk","شعراتك"
"nabda","نبدا"
"dareh","داريه"
"sh5setak","شخصيتك"
"swkh","سوكه"
"yn3an","ينعن"
"afra7","افراح"
"a3ref","اعرف"
"btsaga3","بتسقع"
"$ob","شوب"
"bagar","بقر"
"m3hd","معهد"
"mshawi","مشاوي"
"tsjel","تسجيل"
"likol","لكل"
"elthanaweh","الثانويه"
"rasek","راسك"
"te7kelha","تحكيلها"
"faydh","فايده"
"mo8ef","موقف"
"al7mr","الحمر"
"2$tt","اشتت"
"9na3t","صناعة"
"tedkhlou$","تدخلوش"
"en97","انصح"
"aw3i","اوعي"
"takul","تاكل"
"mjawb","مجاوب"
"houzne","حزني"
"gabat","جابت"
"t8lidy","تقليدي"
"bdk","بدك"
"asef","اسف"
"b9er","بصير"
"y8rb","يقرب"
"rb3k","ربعك"
"ma2jbnk","مااجبنك"
"mawaqef","مواقف"
"b3'la6","بغلط"
"mjdrh","مجدره"
"wjha","وجها"
"m$bk","مشبك"
"a7mar","احمر"
"btath","بطاطا"
"lal","لل"
"bthomoni","بتهموني"
"3rab","عرب"
"bt3malo","بتعملو"
"3eed","عييد"
"tfgna","اتفقنا"
"el7mdullah","الحمدلله"
"29ln","اصلا"
"5e6an","خيطان"
"murad","مراد"
"rnete","رنيتي"
"2lfajer","الفجر"
"mad3oween","مدعوين"
"bm7la","بمحله"
"nro7lna","نروحلنا"
"twgf","توقف"
"saken","ساكن"
"5dha","خذها"
"msakeen","مسكيين"
"6la8at","طلاقات"
"rdeto","رديتو"
"bebali","ببالي"
"mahdai2","ماهدايئ"
"3maylo","عمايلو"
"bt7beni","بتحبيني"
"tjawbe$","تجاوبيش"
"wl2hli","ولأهلي"
"tnsa","تنسى"
"wa8i","واقي"
"8a3at","قاعات"
"ray7en","رايحين"
"anroo7","انروح"
"b3'eeb","بغييب"
"washya2","واشياء"
"at$8a8t","اتشققت"
"nazlen","نازلين"
"n5tar","نختار"
"3mlolk","عملولك"
"t3akar","تعكر"
"nawret","نورت"
"bt7keli","بتحكيلي"
"5asah","خاصه"
